title,genre,runtime,year,top200_box,director,mpaa_rating,imdb_rating,critics_rating,audience_rating,imdb_num_votes,critics_score,audience_score,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win
Thunderheart,Drama,119,1992,no,Michael Apted,R,6.8,Fresh,Upright,11103,87,75,no,no,no,no,no
Guess Who,Comedy,105,2005,no,Ashton Kutcher,PG-13,5.9,Rotten,Spilled,33040,43,49,no,no,no,no,no
Brubaker,Drama,131,1980,no,Stuart Rosenberg,R,7.1,Fresh,Upright,11236,75,74,no,no,no,no,no
Jagged Edge,Mystery & Suspense,108,1985,no,Richard Marquand,R,6.4,Fresh,Spilled,9946,82,58,no,no,yes,no,no
The Last Remake of Beau Geste,Action & Adventure,85,1977,no,Marty Feldman,PG,6,Rotten,Upright,1680,33,65,no,no,no,no,no
Melancholia,Drama,130,2011,no,Lars von Trier,R,7.1,Certified Fresh,Upright,122980,79,67,no,no,no,no,no
Boomerang,Comedy,117,1992,no,Reginald Hudlin,R,5.4,Rotten,Upright,19603,40,60,no,no,no,yes,no
The Ritz,Art House & International,91,1976,no,Richard Lester,R,7.8,Rotten,Upright,1663,40,83,no,no,no,no,no
The Man with the Golden Gun,Drama,125,1974,no,Guy Hamilton,PG,6.8,Rotten,Spilled,71141,45,57,no,no,no,no,no
Hellraiser - Bloodline,Science Fiction & Fantasy,85,1996,no,Joe Chappelle,R,5,Rotten,Spilled,13790,25,37,no,no,no,no,no
The Butcher's Wife,Other,107,1991,no,Terry Hughes,PG-13,5.3,Rotten,Spilled,5374,21,29,no,no,no,yes,no
Diner,Drama,110,1982,no,Barry Levinson,R,7.2,Fresh,Upright,14589,91,78,no,no,no,no,yes
Cecil B. Demented,Comedy,87,2000,no,John Waters,R,6.2,Rotten,Upright,11259,53,67,no,no,no,no,no
Ragtime,Drama,155,1981,no,Milos Forman,PG,7.3,Fresh,Upright,6472,90,76,no,no,yes,no,no
One Day,Drama,107,2011,no,Lone Scherfig,PG-13,7,Rotten,Spilled,100416,36,49,no,no,no,no,no
Rambling Rose,Drama,112,1991,no,Martha Coolidge,R,6.7,Fresh,Spilled,3866,100,51,no,no,yes,no,no
Cameraman: The Life And Work Of Jack Cardiff,Documentary,86,2011,no,Craig McCall,Unrated,7.8,Fresh,Upright,872,96,92,no,no,yes,no,no
I Am Bruce Lee,Documentary,94,2012,no,Pete McCormack,Unrated,7.5,Fresh,Upright,2928,67,78,no,no,no,no,no
Let It Be,Documentary,81,1970,no,Michael Lindsay-Hogg,G,7.9,Fresh,Upright,3887,82,87,no,no,no,no,no
The Groove Tube,Other,75,1974,no,Ken Shapiro,R,5.9,Rotten,Upright,1607,13,60,no,no,no,no,no
Brighton Rock,Mystery & Suspense,111,2011,no,Rowan Joffe,R,5.8,Rotten,Spilled,4904,51,32,no,no,no,yes,no
The Disappearance of Alice Creed,Mystery & Suspense,96,2010,no,J Blakeson,R,6.8,Certified Fresh,Upright,19937,82,67,no,no,no,no,no
Sgt. Bilko,Comedy,93,1996,no,Jonathan Lynn,PG,5.7,Rotten,Spilled,17384,32,47,no,no,no,no,no
One Night at McCool's,Comedy,93,2001,no,Harald Zwart,R,6.1,Rotten,Spilled,25683,33,39,no,no,yes,no,no
V.I. Warshawski,Drama,89,1991,no,Jeff Kanew,R,4.8,Rotten,Spilled,3883,17,24,no,no,no,no,no
Glory,Drama,122,1989,no,Edward Zwick,R,7.9,Certified Fresh,Upright,99582,93,93,no,no,yes,no,no
Carnosaur,Horror,83,1993,no,Adam Simon,R,3.4,Rotten,Spilled,2959,11,24,no,no,no,no,no
The Ninth Gate,Mystery & Suspense,133,1999,no,NA,R,6.7,Rotten,Spilled,134031,41,57,no,no,no,no,no
New York Minute,Action & Adventure,91,2004,no,Dennie Gordon,PG,4.8,Rotten,Spilled,17190,11,47,no,no,no,no,no
Blue Valentine,Drama,112,2010,no,Andrij Parekh,R,7.4,Certified Fresh,Upright,135840,88,77,no,no,no,no,no
The Jazz Singer,Musical & Performing Arts,115,1980,no,Ralph Thomas,PG,5.7,Rotten,Upright,2897,15,72,no,no,yes,no,no
The Other Sister,Drama,129,1999,no,Garry Marshall,PG-13,6.4,Rotten,Upright,10126,29,72,no,no,no,yes,no
The Astronaut Farmer,Drama,104,2006,no,Michael Polish,PG,6.3,Rotten,Spilled,19383,57,49,no,no,no,no,no
Modigliani,Art House & International,128,2004,no,Mick Davis,R,7.4,Rotten,Upright,8030,4,78,no,no,no,no,no
Inbred,Art House & International,90,2011,no,Alex Chandon,R,5.3,Rotten,Spilled,3461,13,29,no,no,no,no,no
Pooh's Heffalump Movie,Animation,68,2005,no,Frank Nissen,G,6.4,Certified Fresh,Upright,3970,79,70,no,no,no,no,no
Good Will Hunting,Drama,126,1997,no,Gus Van Sant,R,8.3,Certified Fresh,Upright,572236,97,94,yes,no,no,no,no
Town & Country,Drama,104,2000,no,Boris Damast,R,4.3,Rotten,Spilled,4072,13,14,no,no,no,yes,no
Happy Feet,Animation,108,2006,no,George Miller,PG,6.5,Certified Fresh,Upright,126257,75,70,no,no,no,yes,no
Deck the Halls,Comedy,93,2006,no,John Whitesell,PG,4.9,Rotten,Spilled,15491,6,30,no,no,no,no,no
Simone,Drama,117,2002,no,Andrew Niccol,PG-13,6.1,Rotten,Spilled,51070,51,35,no,no,yes,no,no
The Adjuster,Drama,102,1992,no,Atom Egoyan,R,6.8,Fresh,Upright,2530,73,73,no,no,no,no,no
Turistas (Paradise Lost),Drama,93,2006,no,John Stockwell,R,5.3,Rotten,Spilled,30495,16,28,no,no,no,no,no
New In Town,Comedy,97,2009,no,Jonas Elmer,PG,5.6,Rotten,Spilled,16955,29,37,no,no,no,no,no
The Prestige,Drama,130,2006,no,Christopher Nolan,PG-13,8.5,Certified Fresh,Upright,797101,76,92,no,no,no,no,no
Waist Deep,Drama,97,2006,no,Stan Lathan,R,5.9,Rotten,Upright,8059,27,76,no,no,no,no,no
The Science of Sleep,Drama,105,2006,no,Michel Gondry,R,7.3,Fresh,Upright,60483,71,81,no,no,no,no,no
Gracie,Drama,95,2007,no,Davis Guggenheim,PG-13,6.2,Fresh,Spilled,3602,60,58,no,no,no,no,no
"See No Evil, Hear No Evil",Action & Adventure,103,1989,no,Arthur Hiller,R,6.8,Rotten,Upright,34802,18,72,no,no,yes,no,no
The Safety of Objects,Mystery & Suspense,121,2001,no,Rose Troche,R,6.6,Rotten,Upright,3730,49,66,no,no,no,no,no
Dumb and Dumberer: When Harry Met Lloyd,Comedy,85,2003,no,Troy Miller,PG-13,3.4,Rotten,Spilled,30085,10,23,no,no,no,no,no
The Little Rascals,Comedy,82,1994,no,Penelope Spheeris,PG,6.3,Rotten,Upright,32737,25,70,no,no,no,no,no
Moonstruck,Drama,102,1987,no,Norman Jewison,PG,7.1,Certified Fresh,Upright,34307,92,81,yes,no,yes,yes,no
World Trade Center,Drama,129,2006,no,Oliver Stone,PG-13,6,Fresh,Upright,66171,68,60,no,no,yes,no,yes
The Portrait of a Lady,Drama,144,1996,no,Jane Campion,PG-13,6.3,Rotten,Spilled,8685,43,52,no,no,no,yes,no
The Postman,Action & Adventure,177,1997,no,Kevin Costner,R,5.9,Rotten,Spilled,54597,9,49,no,no,no,no,yes
Mixed Nuts,Comedy,97,1994,no,Nora Ephron,PG-13,5.3,Rotten,Spilled,7862,7,46,no,no,no,no,no
While You Were Sleeping,Drama,103,1995,no,Jon Turteltaub,PG,6.6,Certified Fresh,Upright,68871,80,79,no,no,no,yes,no
No Country for Old Men,Drama,122,2007,no,Joel Coen,R,8.1,Certified Fresh,Upright,582091,93,86,yes,yes,no,no,yes
Pootie Tang,Comedy,81,2001,no,Louis C.K.,PG-13,5.1,Rotten,Upright,11156,29,63,no,no,no,no,no
Sans Soleil,Documentary,100,1983,no,Chris Marker,R,8.2,Fresh,Upright,6345,92,88,no,no,no,no,no
The Secret Life of Words,Art House & International,115,2006,no,Isabel Coixet,Unrated,7.5,Fresh,Upright,9990,71,86,no,no,no,no,no
Dare,Drama,92,2009,no,Adam Salky,R,5.9,Fresh,Spilled,3473,60,34,no,no,no,no,no
Formula 51,Action & Adventure,93,2002,no,Ronny Yu,R,6.3,Rotten,Spilled,42295,25,59,no,no,no,no,no
The Fifth Element,Drama,126,1997,no,Luc Besson,PG-13,7.6,Fresh,Upright,329613,71,87,no,no,no,no,no
The Frozen Ground,Mystery & Suspense,105,2013,no,Scott Walker,R,6.4,Fresh,Spilled,42408,60,50,no,no,yes,no,no
Ice Age: Continental Drift,Action & Adventure,88,2012,no,Michael Thurmeier,PG,6.7,Rotten,Upright,137222,37,62,no,no,no,no,no
Showtime,Comedy,95,2002,no,Tom Dey,PG-13,5.5,Rotten,Spilled,51366,25,25,no,no,yes,no,no
The Greatest Game Ever Played,Drama,120,2005,no,Bill Paxton,PG,7.5,Fresh,Upright,21623,63,82,no,no,no,no,no
Grizzly Man,Documentary,103,2005,no,Werner Herzog,R,7.8,Certified Fresh,Upright,39320,93,85,no,no,no,no,no
Galaxina,Science Fiction & Fantasy,95,1980,no,William Sachs,R,3.4,Rotten,Spilled,1915,17,26,no,no,no,no,no
"Oh, God! Book II",Comedy,94,1980,no,Gilbert Cates,PG,5.1,Rotten,Spilled,1674,50,38,no,no,no,no,no
Micki + Maude,Comedy,118,1984,no,Blake Edwards,PG-13,5.9,Fresh,Spilled,2096,67,45,no,no,no,no,no
Bootmen,Drama,95,2000,no,Dein Perry,R,6.2,Rotten,Upright,1935,35,70,no,no,no,no,no
My Dinner with Andre,Drama,110,1981,no,Louis Malle,PG,7.8,Fresh,Upright,10522,91,86,no,no,no,no,no
Mother's Boys,Mystery & Suspense,96,1993,no,Yves Simoneau,R,5.4,Rotten,Spilled,2380,43,28,no,no,no,no,no
Robin Hood,Action & Adventure,83,1973,no,Wolfgang Reitherman,G,7.6,Rotten,Upright,78862,50,81,no,no,no,no,no
Ghost Rider: Spirit of Vengeance,Action & Adventure,96,2012,no,Brian Taylor,PG-13,4.3,Rotten,Spilled,83724,17,32,no,no,yes,no,no
Naked Lunch,Drama,115,1991,no,David Cronenberg,R,7.1,Fresh,Upright,34298,71,77,no,no,no,no,no
Theremin: An Electronic Odyssey,Documentary,83,1994,no,Steven M. Martin,PG,7.4,Fresh,Upright,830,100,72,no,no,no,no,no
The Whole Wide World,Drama,111,1996,no,Dan Ireland,PG,7.3,Fresh,Upright,2869,81,72,no,no,no,no,no
Hostel,Horror,94,2006,no,Eli Roth,R,5.9,Fresh,Spilled,134510,61,53,no,no,no,no,no
Swordfish,Drama,99,2001,no,Dominic Sena,R,6.5,Rotten,Upright,152216,26,60,no,no,no,yes,no
Dark Skies,Mystery & Suspense,97,2013,no,Scott Stewart,PG-13,6.3,Rotten,Spilled,54771,40,49,no,no,no,no,no
The Distinguished Gentleman,Comedy,112,1992,no,Jonathan Lynn,R,5.8,Rotten,Spilled,11838,13,36,no,no,no,no,no
The Time Traveler's Wife,Drama,107,2009,no,Robert Schwentke,PG-13,7.1,Rotten,Spilled,110540,38,59,no,no,no,no,no
Breathless,Drama,100,1983,no,Jim McBride,R,5.7,Fresh,Spilled,6343,67,49,no,no,no,no,no
Love Actually,Comedy,135,2003,no,Richard Curtis,R,7.7,Fresh,Upright,309494,63,73,no,no,yes,yes,no
"Oh, God!",Science Fiction & Fantasy,98,1977,no,Carl Reiner,PG,6.5,Fresh,Spilled,6909,72,59,no,no,no,no,no
Bookies,Drama,88,2004,no,Mark Illsley,R,6,Fresh,Spilled,1890,67,49,no,no,no,no,no
Live and Let Die,Mystery & Suspense,121,1973,no,Guy Hamilton,PG,6.8,Fresh,Upright,72176,66,65,no,no,no,no,no
What's Cooking?,Drama,109,2000,no,Gurinder Chadha,PG-13,7.1,Rotten,Upright,2271,52,64,no,no,no,no,no
The Funeral,Drama,99,1996,no,Abel Ferrara,R,6.6,Fresh,Upright,6804,79,68,no,no,no,no,no
Safe House,Mystery & Suspense,115,2012,no,Daniel Espinosa,R,6.8,Rotten,Upright,161101,53,64,no,no,no,no,no
Welcome to Mooseport,Comedy,110,2004,no,Donald Petrie,PG-13,5.2,Rotten,Spilled,10535,13,19,no,no,yes,no,no
Trainspotting,Drama,94,1996,no,Danny Boyle,R,8.2,Certified Fresh,Upright,448434,89,93,no,no,no,no,yes
I Wanna Hold Your Hand,Drama,104,1978,no,Robert Zemeckis,PG,6.9,Fresh,Upright,2931,83,76,no,no,no,no,yes
UHF,Other,97,1989,no,Jay Levey,PG,7,Fresh,Upright,21009,63,77,no,no,no,no,no
Lola Versus,Comedy,87,2012,no,Daryl Wein,R,5.4,Rotten,Spilled,6811,35,31,no,no,no,no,no
Countdown to Zero,Documentary,89,2010,no,Lucy Walker,PG,6.9,Certified Fresh,Upright,1943,81,72,no,no,no,no,no
The Imposter,Documentary,99,2012,no,Bart Layton,R,7.5,Certified Fresh,Upright,32338,95,78,no,no,no,no,no
The Perfect Score,Drama,93,2004,no,Brian Robbins,PG-13,5.7,Rotten,Spilled,19161,17,44,no,no,no,no,no
A Perfect Getaway,Mystery & Suspense,98,2009,no,David Twohy,R,6.5,Fresh,Spilled,54871,61,52,no,no,no,no,no
Death Line (Raw Meat),Horror,87,1972,no,Gary Sherman,R,6,Fresh,Spilled,2433,86,44,no,no,no,no,no
Things to Do in Denver...When You're Dead,Drama,115,1995,no,Gary Fleder,R,6.8,Rotten,Upright,21924,33,73,no,no,no,no,no
Mad Max 2: The Road Warrior,Action & Adventure,95,1981,no,George Miller,R,7.6,Certified Fresh,Upright,128298,98,85,no,no,no,no,no
My Girl 2,Drama,99,1996,no,Howard Zieff,PG,5.1,Rotten,Spilled,14559,27,46,no,no,no,no,no
Candy,Drama,116,2006,no,Neil Armfield,R,7.3,Rotten,Upright,34926,49,77,no,no,yes,no,no
The Secret Garden,Drama,101,1993,no,Agnieszka Holland,G,7.3,Certified Fresh,Upright,27097,85,80,no,no,no,yes,no
Get on the Bus,Drama,120,1996,no,Spike Lee,R,6.8,Certified Fresh,Upright,4021,88,71,no,no,no,no,no
Ghosts of Abu Ghraib,Documentary,78,2007,no,Rory Kennedy,Unrated,8,Fresh,Upright,764,100,91,no,no,no,no,no
Punchline,Drama,128,1988,no,David Seltzer,R,5.8,Rotten,Spilled,6418,50,42,no,no,yes,yes,no
Bridget Jones - The Edge of Reason,Drama,108,2004,no,Beeban Kidron,R,5.9,Rotten,Upright,70737,27,61,no,no,yes,no,no
Code Name: The Cleaner,Action & Adventure,84,2007,no,Les Mayfield,PG-13,4.5,Rotten,Spilled,9656,4,37,no,no,no,no,no
Fast & Furious,Mystery & Suspense,107,2009,no,Justin Lin,PG-13,6.6,Rotten,Upright,193702,28,67,no,no,no,no,no
House of 1000 Corpses,Horror,89,2003,no,Rob Zombie,R,6,Rotten,Upright,59076,19,65,no,no,no,no,no
What Women Want,Comedy,127,2001,no,Nancy Meyers,PG-13,6.4,Rotten,Spilled,154148,54,54,no,no,no,yes,no
River's Edge,Drama,99,1987,no,Tim Hunter,R,7.1,Fresh,Upright,11377,87,76,no,no,no,no,no
The Babysitter,Mystery & Suspense,90,1995,no,Guy Ferland,R,4.2,Rotten,Spilled,3302,17,15,no,no,no,no,no
Saint of 9/11,Documentary,90,2006,no,Glenn Holsten,Unrated,7.8,Fresh,Upright,180,84,79,no,no,no,no,no
Black Death,Drama,102,2011,no,Christopher Smith,R,6.4,Fresh,Spilled,34253,68,49,no,no,yes,no,no
Little Manhattan,Drama,84,2005,no,Mark Levin,PG,7.6,Fresh,Upright,17960,77,86,no,no,no,no,no
In Search of Beethoven,Musical & Performing Arts,139,2009,no,Phil Grabsky,Unrated,7.5,Fresh,Upright,281,92,77,no,no,no,no,no
Taps,Drama,126,1981,no,Harold Becker,PG,6.7,Fresh,Upright,12498,75,67,no,no,yes,no,no
"Planes, Trains and Automobiles",Comedy,93,1987,no,John Hughes,R,7.6,Certified Fresh,Upright,86831,94,87,no,no,no,no,no
Mirrors,Mystery & Suspense,110,2008,no,Alexandre Aja,R,6.2,Rotten,Spilled,83424,14,44,no,no,no,no,no
A Shot at Glory,Drama,114,2001,no,Michael Corrente,R,6.3,Fresh,Upright,1803,67,65,no,no,no,no,no
Flipped,Drama,90,2010,no,Rob Reiner,PG,7.7,Rotten,Upright,56919,55,78,no,no,no,no,no
Sweet Sixteen,Drama,106,2003,no,Ken Loach,R,7.5,Certified Fresh,Upright,10250,97,87,no,no,no,no,no
Cold Creek Manor,Mystery & Suspense,118,2003,no,Mike Figgis,R,4.9,Rotten,Spilled,18005,12,22,no,no,no,no,no
Snake Eyes,Drama,98,1998,no,Brian DePalma,R,5.9,Rotten,Spilled,62773,40,35,no,no,yes,no,no
Croupier,Mystery & Suspense,94,2000,no,Mike Hodges,R,7.2,Certified Fresh,Upright,15444,98,80,no,no,no,no,no
What About Bob?,Drama,99,1991,no,Frank Oz,PG,7,Fresh,Upright,48756,83,79,no,no,yes,no,no
The Ex,Comedy,89,2007,no,Jesse Peretz,PG-13,5.6,Rotten,Spilled,14986,19,32,no,no,no,no,no
A Haunted House 2,Comedy,86,2014,no,Michael Tiddes,R,4.7,Rotten,Spilled,13525,8,44,no,no,no,no,no
Real Steel,Drama,127,2011,no,Shawn Levy,PG-13,7.1,Fresh,Upright,246343,60,73,no,no,no,no,no
Wanted,Action & Adventure,110,2008,no,Timur Bekmambetov,R,6.7,Certified Fresh,Upright,290958,72,69,no,no,no,no,no
Thieves Like Us,Drama,123,1974,no,Robert Altman,R,7.1,Fresh,Upright,3146,89,71,no,no,no,yes,no
In Dreams,Mystery & Suspense,100,1999,no,Neil Jordan,R,5.5,Rotten,Spilled,10886,25,39,no,no,no,no,no
Mallrats,Comedy,94,1995,no,Kevin Smith,R,7.2,Rotten,Upright,96471,55,82,no,no,no,no,no
Medicine Man,Drama,106,1992,no,John McTiernan,PG-13,5.9,Rotten,Spilled,17101,20,46,no,no,no,no,no
Sea Monsters: A Prehistoric Adventure,Documentary,40,2007,no,Sean MacLeod Phillips,G,7,Fresh,Upright,723,100,68,no,no,no,no,no
Ray,Drama,152,2004,no,Taylor Hackford,PG-13,7.7,Certified Fresh,Upright,106171,81,87,yes,no,yes,no,no
Coach Carter,Drama,136,2005,no,Thomas Carter,PG-13,7.2,Fresh,Upright,88777,65,85,no,no,no,no,no
Training Day,Drama,122,2001,no,Antoine Fuqua,R,7.7,Fresh,Upright,294683,72,89,no,no,yes,no,no
Saturday Night Fever,Drama,118,1977,yes,John Badham,R,6.8,Certified Fresh,Upright,51534,88,71,no,no,no,no,no
The Mother,Drama,112,2004,no,Roger Michell,R,6.9,Certified Fresh,Upright,3487,77,62,no,no,no,no,no
Under Fire,Mystery & Suspense,128,1983,no,Roger Spottiswoode,R,7.1,Fresh,Upright,5115,88,68,no,no,yes,no,no
Hairspray,Drama,92,1988,no,John Waters,PG,6.9,Fresh,Upright,15449,97,80,no,no,no,no,no
Sweet Liberty,Comedy,106,1986,no,Alan Alda,PG,5.7,Fresh,Spilled,2181,75,34,no,no,no,no,no
Urban Cowboy,Other,132,1980,no,James Bridges,PG,6.2,Fresh,Upright,9832,77,81,no,no,no,no,no
Shooter,Drama,124,2007,no,Antoine Fuqua,R,7.2,Rotten,Upright,247105,48,80,no,no,no,no,no
Crumb,Comedy,119,1995,no,Terry Zwigoff,R,8,Certified Fresh,Upright,13614,95,89,no,no,no,no,no
Just Friends,Drama,96,2005,no,Roger  Kumble,PG-13,6.2,Rotten,Upright,78297,42,72,no,no,no,no,no
Over the Edge,Drama,95,1979,no,Jonathan Kaplan,PG,7.6,Fresh,Upright,4369,89,86,no,no,no,no,no
Operation Dumbo Drop,Comedy,107,1995,no,Simon Wincer,PG,4.9,Rotten,Spilled,6765,31,29,no,no,no,no,no
The Postman Always Rings Twice,Mystery & Suspense,122,1981,no,Bob Rafelson,PG,6.6,Fresh,Spilled,16137,83,59,no,no,yes,yes,no
Monster,Drama,109,2004,no,Patty Jenkins,R,7.3,Certified Fresh,Upright,101850,82,81,no,no,no,yes,no
Bright Leaves,Documentary,107,2004,no,Ross McElwee,Unrated,7.1,Certified Fresh,Upright,504,86,71,no,no,no,yes,no
Teenage Paparazzo,Documentary,94,2010,no,Adrian Grenier,Unrated,7.4,Fresh,Upright,1935,100,94,no,no,no,no,no
The Gauntlet,Mystery & Suspense,109,1977,no,Clint Eastwood,R,6.4,Fresh,Spilled,15116,82,54,no,no,no,no,yes
Jerry Maguire,Drama,139,1996,no,Cameron Crowe,R,7.3,Certified Fresh,Upright,183717,85,79,yes,no,no,no,no
Felon,Drama,104,2008,no,Ric Roman Waugh,R,7.5,Rotten,Upright,64873,59,82,no,no,no,no,no
On Golden Pond,Drama,109,1981,yes,Mark Rydell,PG,7.7,Fresh,Upright,20738,92,87,yes,no,yes,yes,no
Army of Darkness,Action & Adventure,81,1993,no,Sam Raimi,R,7.6,Fresh,Upright,123769,72,87,no,no,no,no,no
Maverick,Other,127,1994,no,Richard Donner,PG-13,7,Fresh,Upright,79866,67,71,no,no,no,yes,no
The Little Mermaid,Animation,83,1989,no,John Musker,G,7.6,Certified Fresh,Upright,160237,92,88,no,no,no,no,no
Astro Boy (AstroBoy),Action & Adventure,94,2009,no,David Bowers,PG,6.3,Rotten,Spilled,24595,49,50,no,no,yes,no,no
The Trip,Art House & International,112,2011,no,Michael Winterbottom,Unrated,7,Certified Fresh,Upright,16883,89,70,no,no,no,no,no
Pete Seeger: The Power of Song,Documentary,93,2007,no,Jim Brown,PG,8.4,Fresh,Upright,390,95,92,no,no,no,no,no
Zombi 2,Horror,91,1980,no,Lucio Fulci,R,6.9,Rotten,Upright,19539,42,70,no,no,no,no,no
Jaws 2,Action & Adventure,116,1978,no,Jeannot Szwarc,PG,5.7,Rotten,Spilled,48718,53,38,no,no,no,no,no
Maniac,Horror,89,2013,no,Franck Khalfoun,Unrated,6.1,Rotten,Spilled,26301,49,44,no,no,no,no,no
Velvet Goldmine,Musical & Performing Arts,124,1998,no,Todd Haynes,R,7,Rotten,Upright,26943,56,80,no,no,no,no,no
Undertaking Betty,Drama,94,2003,no,Nich Hurran,PG-13,6.7,Rotten,Upright,4077,40,66,no,no,no,no,no
Taking Lives,Drama,103,2004,no,D.J. Caruso,R,6.2,Rotten,Spilled,63511,22,55,no,no,no,no,no
The Illusionist (L'illusionniste),Drama,80,2010,no,Sylvain Chomet,PG,7.5,Certified Fresh,Upright,27601,90,79,no,no,no,no,no
Titanic,Drama,194,1997,yes,James Cameron,PG-13,7.7,Certified Fresh,Upright,756602,88,69,yes,yes,no,yes,yes
The Tillman Story,Documentary,94,2010,no,Amir Bar-Lev,R,7.8,Certified Fresh,Upright,3998,93,91,no,no,no,no,no
To The Wonder,Drama,112,2013,no,Terrence Malick,R,6,Rotten,Spilled,19898,46,38,no,no,no,no,no
Snow Angels,Drama,107,2007,no,David Gordon Green,R,6.9,Fresh,Upright,10786,68,67,no,no,no,no,no
Mrs. Dalloway,Drama,97,1998,no,Marleen Gorris,PG-13,6.9,Fresh,Spilled,2857,71,58,no,no,no,no,no
F for Fake,Documentary,89,1974,no,Orson Welles,Unrated,7.8,Certified Fresh,Upright,9675,88,89,no,no,no,no,no
Saving Face,Drama,91,2005,no,Alice Wu,R,7.6,Certified Fresh,Upright,7545,87,88,no,no,no,no,no
The Jerky Boys,Comedy,82,1995,no,James Melkonian,R,4.5,Rotten,Spilled,2113,9,52,no,no,no,no,no
The Unbelievable Truth,Drama,90,1990,no,Hal Hartley,R,7.5,Fresh,Upright,3448,100,89,no,no,no,no,no
Article 99,Drama,100,1992,no,Howard Deutch,R,6,Rotten,Spilled,2441,46,55,no,no,yes,no,no
Great Balls of Fire,Drama,108,1989,no,Jim McBride,PG-13,6.2,Fresh,Spilled,12402,63,53,no,no,no,no,no
Condorman,Action & Adventure,90,1981,no,Charles Jarrott,PG,5.7,Rotten,Upright,3373,25,65,no,no,no,no,no
Man of the House,Comedy,96,1995,no,James Orr,PG,4.9,Rotten,Spilled,6322,14,33,no,no,no,no,no
Broken,Documentary,91,2013,no,Billy Corben,Unrated,7.3,Fresh,Upright,9906,63,74,no,no,no,no,no
The Big Red One,Drama,113,1980,no,Samuel Fuller,PG,7.2,Certified Fresh,Upright,15025,91,78,no,no,yes,no,no
Mighty Aphrodite,Comedy,95,1995,no,Woody Allen,R,7.1,Fresh,Upright,30826,77,73,no,no,no,no,yes
Captain Phillips,Drama,134,2013,no,Paul Greengrass,PG-13,7.9,Certified Fresh,Upright,309896,93,89,yes,no,yes,no,no
Amityville II: The Possession,Horror,104,1982,no,Damiano Damiani,R,5.4,Rotten,Spilled,7284,7,35,no,no,no,no,no
The Long Kiss Goodnight,Mystery & Suspense,121,1996,no,Renny Harlin,R,6.7,Fresh,Upright,58907,67,70,no,no,no,no,no
Fool's Gold,Action & Adventure,112,2008,no,Andy Tennant,PG-13,5.6,Rotten,Spilled,57251,11,48,no,no,yes,no,no
Doogal,Animation,85,2006,no,Frank Passingham,G,2.8,Rotten,Spilled,3790,8,18,no,no,no,no,no
Bait,Drama,119,2000,no,Antoine Fuqua,R,5.7,Rotten,Spilled,8818,26,41,no,no,yes,no,no
Body of Evidence,Mystery & Suspense,99,1992,no,Uli Edel,R,4.3,Rotten,Spilled,11125,6,22,no,no,no,yes,no
The Hunger Games,Drama,142,2012,yes,Gary Ross,PG-13,7.3,Certified Fresh,Upright,675907,84,81,no,no,no,yes,no
Hell's Kitchen N.Y.C.,Drama,95,1999,no,Tony Cinciripini,R,4.9,Rotten,Spilled,2120,40,35,no,no,no,no,no
The Lake House,Drama,99,2006,no,Alejandro Agresti,PG,6.8,Rotten,Upright,111132,35,73,no,no,no,yes,no
In the Name of the Father,Drama,133,1993,no,Jim Sheridan,R,8.1,Certified Fresh,Upright,103378,94,95,yes,no,yes,yes,no
Desperate Measures,Drama,100,1997,no,Barbet Schroeder,R,6.1,Rotten,Spilled,13682,17,37,no,no,no,no,no
The Invasion,Mystery & Suspense,99,2007,no,Oliver Hirschbiegel,PG-13,5.9,Rotten,Spilled,63672,19,40,no,no,no,yes,no
Eye of the Needle,Drama,112,1981,no,Richard Marquand,R,7.1,Fresh,Upright,6946,85,72,no,no,no,no,no
Funny Lady,Drama,136,1975,no,Herbert Ross,PG,6.4,Rotten,Spilled,3584,38,55,no,no,no,yes,no
Alvin and the Chipmunks,Animation,92,2007,no,Tim Hill,PG,5.3,Rotten,Upright,54363,27,65,no,no,no,no,no
Pina,Musical & Performing Arts,103,2011,no,Wim Wenders,PG,7.7,Certified Fresh,Upright,11197,95,81,no,no,no,no,no
Capote,Drama,114,2005,no,Bennett Miller,R,7.4,Certified Fresh,Upright,96787,90,81,yes,no,yes,no,no
Dead Men Don't Wear Plaid,Mystery & Suspense,88,1982,no,Carl Reiner,PG,6.8,Fresh,Upright,16366,77,73,no,no,no,no,no
Tarzan,Drama,88,1999,no,Chris Buck,G,7.2,Certified Fresh,Upright,134270,88,74,no,no,no,no,no
Cocoon: The Return,Drama,116,1988,no,Daniel Petrie,PG,5.2,Rotten,Spilled,11657,36,35,no,no,no,no,no
Death Defying Acts,Drama,97,2008,no,Gillian Armstrong,PG,5.9,Rotten,Spilled,8345,44,26,no,no,no,no,no
Half Baked,Comedy,82,1998,no,Tamra Davis,R,6.7,Rotten,Upright,46794,29,81,no,no,no,no,no
Dance of the Dead,Action & Adventure,87,2008,no,Gregg Bishop,R,5.9,Fresh,Spilled,10087,80,52,no,no,no,no,no
Around the World in 80 Days,Action & Adventure,120,2004,yes,Frank Coraci,PG,5.8,Rotten,Spilled,66054,31,34,no,no,no,no,no
LOL,Comedy,97,2012,no,Liza Azuelos,PG-13,4.2,Rotten,Spilled,43574,17,51,no,no,no,no,no
